Date,Store ID,Product ID,Quantity Sold
2022-06-01,Store001,Prod001,14
2022-06-01,Store002,Prod002,17
2022-06-02,Store003,Prod003,10
2022-06-02,Store004,Prod004,13
2022-06-03,Store005,Prod005,8
2022-06-03,Store006,Prod006,22
2022-06-04,Store007,Prod007,11
2022-06-04,Store008,Prod008,19
2022-06-05,Store009,Prod009,15
2022-06-05,Store010,Prod010,12
2022-06-06,Store001,Prod011,16
2022-06-06,Store002,Prod012,18
2022-06-07,Store003,Prod013,9
2022-06-07,Store004,Prod014,14
2022-06-08,Store005,Prod015,7
2022-06-08,Store006,Prod016,23
2022-06-09,Store007,Prod017,12
2022-06-09,Store008,Prod018,20
2022-06-10,Store009,Prod019,14
2022-06-10,Store010,Prod020,11
2022-06-11,Store001,Prod021,15
2022-06-11,Store002,Prod022,17
2022-06-12,Store003,Prod023,10
2022-06-12,Store004,Prod024,13
2022-06-13,Store005,Prod025,8
2022-06-13,Store006,Prod006,22
2022-06-14,Store007,Prod007,11
2022-06-14,Store008,Prod008,19
2022-06-15,Store009,Prod009,15
2022-06-15,Store010,Prod010,12
2022-06-16,Store001,Prod011,16
2022-06-16,Store002,Prod012,18
2022-06-17,Store003,Prod013,9
2022-06-17,Store004,Prod014,14
2022-06-18,Store005,Prod015,7
2022-06-18,Store006,Prod016,23
2022-06-19,Store007,Prod017,12
2022-06-19,Store008,Prod018,20
2022-06-20,Store009,Prod019,14
2022-06-20,Store010,Prod020,11
2022-06-21,Store001,Prod021,15
2022-06-21,Store002,Prod022,17
2022-06-22,Store003,Prod023,10
2022-06-22,Store004,Prod024,13
2022-06-23,Store005,Prod025,8
2022-06-23,Store006,Prod006,22
2022-06-24,Store007,Prod007,11
2022-06-24,Store008,Prod008,19
2022-06-25,Store009,Prod009,15
2022-06-25,Store010,Prod010,12
2022-06-26,Store001,Prod011,16
2022-06-26,Store002,Prod012,18
2022-06-27,Store003,Prod013,9
2022-06-27,Store004,Prod014,14
2022-06-28,Store005,Prod015,7
2022-06-28,Store006,Prod016,23
2022-06-29,Store007,Prod017,12
2022-06-29,Store008,Prod018,20
2022-06-30,Store009,Prod019,14
2022-06-30,Store010,Prod020,11
